#hdf5_snapshot_label stellar_mass scale_nsc_mass
batch/early_000 1.00000000e+09 neumayer-early
batch/early_001 1.33352143e+09 neumayer-early
batch/early_002 1.77827941e+09 neumayer-early
batch/early_003 2.37137371e+09 neumayer-early
batch/early_004 3.16227766e+09 neumayer-early
batch/early_005 4.21696503e+09 neumayer-early
batch/early_006 5.62341325e+09 neumayer-early
batch/early_007 7.49894209e+09 neumayer-early
batch/early_008 1.00000000e+10 neumayer-early
batch/early_009 1.33352143e+10 neumayer-early
batch/early_010 1.77827941e+10 neumayer-early
batch/early_011 2.37137371e+10 neumayer-early
batch/early_012 3.16227766e+10 neumayer-early
batch/early_013 4.21696503e+10 neumayer-early
batch/early_014 5.62341325e+10 neumayer-early
batch/early_015 7.49894209e+10 neumayer-early
batch/early_016 1.00000000e+11 neumayer-early
batch/early_017 1.33352143e+11 neumayer-early
batch/early_018 1.77827941e+11 neumayer-early
batch/early_019 2.37137371e+11 neumayer-early
batch/early_020 3.16227766e+11 neumayer-early
batch/early_021 4.21696503e+11 neumayer-early
batch/early_022 5.62341325e+11 neumayer-early
batch/early_023 7.49894209e+11 neumayer-early
batch/early_024 1.00000000e+12 neumayer-early
batch/early_025 1.33352143e+12 neumayer-early
batch/early_026 1.77827941e+12 neumayer-early
batch/early_027 2.37137371e+12 neumayer-early
batch/early_028 3.16227766e+12 neumayer-early
batch/early_029 4.21696503e+12 neumayer-early
batch/early_030 5.62341325e+12 neumayer-early
batch/early_031 7.49894209e+12 neumayer-early
batch/early_032 1.00000000e+13 neumayer-early
batch/late_000 1.00000000e+09 neumayer-late
batch/late_001 1.33352143e+09 neumayer-late
batch/late_002 1.77827941e+09 neumayer-late
batch/late_003 2.37137371e+09 neumayer-late
batch/late_004 3.16227766e+09 neumayer-late
batch/late_005 4.21696503e+09 neumayer-late
batch/late_006 5.62341325e+09 neumayer-late
batch/late_007 7.49894209e+09 neumayer-late
batch/late_008 1.00000000e+10 neumayer-late
batch/late_009 1.33352143e+10 neumayer-late
batch/late_010 1.77827941e+10 neumayer-late
batch/late_011 2.37137371e+10 neumayer-late
batch/late_012 3.16227766e+10 neumayer-late
batch/late_013 4.21696503e+10 neumayer-late
batch/late_014 5.62341325e+10 neumayer-late
batch/late_015 7.49894209e+10 neumayer-late
batch/late_016 1.00000000e+11 neumayer-late
batch/late_017 1.33352143e+11 neumayer-late
batch/late_018 1.77827941e+11 neumayer-late
batch/late_019 2.37137371e+11 neumayer-late
batch/late_020 3.16227766e+11 neumayer-late
batch/late_021 4.21696503e+11 neumayer-late
batch/late_022 5.62341325e+11 neumayer-late
batch/late_023 7.49894209e+11 neumayer-late
batch/late_024 1.00000000e+12 neumayer-late
batch/late_025 1.33352143e+12 neumayer-late
batch/late_026 1.77827941e+12 neumayer-late
batch/late_027 2.37137371e+12 neumayer-late
batch/late_028 3.16227766e+12 neumayer-late
batch/late_029 4.21696503e+12 neumayer-late
batch/late_030 5.62341325e+12 neumayer-late
batch/late_031 7.49894209e+12 neumayer-late
batch/late_032 1.00000000e+13 neumayer-late
